iter	Passed	Remaining
0	12	12448
1	23	11499
2	31	10387
3	40	10055
4	48	9728
5	57	9588
6	65	9327
7	74	9271
8	83	9168
9	91	9078
10	100	9067
11	109	9044
12	118	9007
13	126	8902
14	134	8806
15	142	8778
16	150	8728
17	159	8726
18	168	8700
19	176	8663
20	184	8613
21	193	8590
22	202	8585
23	210	8573
24	220	8597
25	228	8562
26	236	8539
27	245	8516
28	254	8510
29	263	8524
30	272	8531
31	285	8649
32	296	8673
33	306	8709
34	317	8741
35	327	8780
36	340	8855
37	351	8898
38	361	8918
39	372	8940
40	382	8954
41	393	8972
42	403	8989
43	414	8998
44	424	9006
45	434	9014
46	446	9045
47	457	9064
48	467	9076
49	479	9105
50	490	9132
51	502	9155
52	513	9171
53	523	9176
54	534	9190
55	545	9193
56	556	9199
57	566	9195
58	576	9196
59	586	9186
60	596	9188
61	607	9192
62	618	9202
63	629	9199
64	639	9199
65	649	9195
66	660	9199
67	669	9175
68	677	9146
69	686	9122
70	696	9116
71	707	9122
72	718	9118
73	728	9116
74	738	9112
75	749	9108
76	759	9103
77	769	9097
78	780	9097
79	792	9109
80	803	9113
81	814	9112
82	824	9108
83	834	9104
84	845	9100
85	855	9090
86	865	9084
87	876	9081
88	886	9074
89	897	9070
90	907	9060
91	916	9047
92	925	9024
93	935	9015
94	945	9005
95	955	8999
96	965	8987
97	973	8964
98	981	8933
99	989	8907
100	998	8883
101	1007	8867
102	1015	8840
103	1024	8823
104	1033	8808
105	1042	8795
106	1051	8778
107	1060	8760
108	1070	8749
109	1080	8741
110	1090	8733
111	1100	8725
112	1110	8719
113	1120	8710
114	1131	8707
115	1142	8705
116	1152	8700
117	1163	8697
118	1174	8694
119	1184	8686
120	1194	8679
121	1205	8672
122	1214	8662
123	1223	8645
124	1231	8623
125	1240	8602
126	1248	8585
127	1258	8572
128	1269	8572
129	1280	8570
130	1291	8565
131	1302	8564
132	1314	8569
133	1325	8568
134	1336	8564
135	1347	8561
136	1358	8555
137	1368	8545
138	1377	8532
139	1385	8510
140	1393	8486
141	1401	8471
142	1410	8452
143	1419	8439
144	1429	8429
145	1440	8423
146	1448	8405
147	1457	8393
148	1467	8382
149	1478	8378
150	1487	8364
151	1496	8348
152	1505	8333
153	1515	8325
154	1526	8319
155	1536	8311
156	1546	8302
157	1556	8293
158	1565	8282
159	1576	8276
160	1586	8265
161	1596	8257
162	1606	8250
163	1615	8236
164	1625	8225
165	1634	8214
166	1643	8196
167	1650	8174
168	1658	8154
169	1667	8141
170	1677	8132
171	1686	8119
172	1696	8107
173	1705	8096
174	1714	8084
175	1724	8074
176	1733	8061
177	1742	8048
178	1751	8031
179	1758	8010
180	1765	7986
181	1771	7960
182	1777	7933
183	1784	7911
184	1790	7887
185	1797	7867
186	1804	7846
187	1812	7826
188	1819	7806
189	1826	7787
190	1833	7767
191	1841	7748
192	1848	7728
193	1855	7710
194	1863	7694
195	1872	7681
196	1882	7674
197	1892	7664
198	1900	7650
199	1908	7635
200	1917	7621
201	1925	7606
202	1934	7596
203	1944	7585
204	1952	7572
205	1960	7555
206	1966	7533
207	1973	7515
208	1981	7498
209	1988	7480
210	1995	7461
211	2004	7450
212	2013	7439
213	2022	7426
214	2030	7414
215	2039	7402
216	2046	7385
217	2052	7364
218	2058	7342
219	2064	7320
220	2070	7299
221	2076	7277
222	2083	7257
223	2089	7238
224	2095	7219
225	2101	7197
226	2106	7174
227	2113	7157
228	2120	7138
229	2126	7117
230	2132	7098
231	2138	7080
232	2145	7062
233	2151	7044
234	2159	7030
235	2167	7017
236	2174	7001
237	2181	6985
238	2189	6971
239	2197	6959
240	2205	6946
241	2212	6929
242	2218	6910
243	2224	6892
244	2230	6874
245	2236	6856
246	2244	6841
247	2253	6832
248	2259	6815
249	2266	6800
250	2274	6788
251	2283	6777
252	2291	6766
253	2299	6753
254	2306	6737
255	2313	6722
256	2320	6709
257	2327	6693
258	2333	6675
259	2338	6656
260	2344	6637
261	2350	6620
262	2356	6602
263	2361	6584
264	2367	6565
265	2372	6547
266	2378	6530
267	2384	6513
268	2391	6497
269	2396	6480
270	2402	6462
271	2407	6443
272	2412	6425
273	2418	6408
274	2425	6393
275	2431	6376
276	2437	6361
277	2442	6344
278	2448	6328
279	2454	6312
280	2460	6295
281	2466	6278
282	2471	6261
283	2476	6243
284	2481	6225
285	2487	6209
286	2493	6193
287	2498	6178
288	2505	6163
289	2511	6148
290	2517	6134
291	2524	6120
292	2530	6105
293	2535	6089
294	2541	6073
295	2546	6057
296	2553	6043
297	2559	6028
298	2565	6015
299	2571	6000
300	2577	5984
301	2582	5969
302	2587	5952
303	2593	5936
304	2599	5922
305	2604	5906
306	2610	5892
307	2615	5877
308	2621	5862
309	2626	5847
310	2632	5831
311	2636	5813
312	2642	5799
313	2647	5783
314	2652	5769
315	2658	5754
316	2664	5739
317	2669	5724
318	2674	5709
319	2680	5696
320	2687	5684
321	2693	5670
322	2698	5655
323	2704	5641
324	2710	5628
325	2715	5615
326	2721	5600
327	2725	5584
328	2731	5570
329	2735	5554
330	2740	5539
331	2745	5524
332	2751	5510
333	2755	5495
334	2761	5481
335	2766	5467
336	2772	5454
337	2778	5441
338	2784	5428
339	2789	5415
340	2795	5401
341	2800	5387
