iter	Passed	Remaining
0	19	19433
1	46	23227
2	67	22554
3	84	21164
4	100	20022
5	118	19550
6	135	19274
7	156	19420
8	176	19424
9	193	19121
10	208	18755
11	224	18482
12	242	18414
13	259	18308
14	275	18084
15	292	17961
16	307	17807
17	329	17979
18	367	18963
19	397	19466
20	420	19613
21	440	19561
22	460	19540
23	485	19751
24	511	19944
25	540	20230
26	565	20366
27	582	20229
28	600	20097
29	618	19984
30	635	19869
31	663	20059
32	686	20103
33	706	20078
34	730	20142
35	748	20052
36	765	19915
37	781	19785
38	805	19846
39	825	19812
40	1010	23646
41	1032	23560
42	1056	23519
43	1079	23455
44	1097	23289
45	1147	23788
46	1176	23856
47	1209	23981
48	1238	24035
49	1256	23867
50	1280	23819
51	1297	23650
52	1318	23551
53	1335	23393
54	1353	23252
55	1370	23102
56	1387	22960
57	1406	22836
58	1425	22730
59	1458	22849
60	1477	22737
61	1494	22605
62	1511	22479
63	1520	22240
64	1536	22101
65	1555	22011
66	1573	21910
67	1590	21793
68	1606	21680
69	1624	21583
70	1649	21585
71	1669	21521
72	1688	21439
73	1709	21396
74	1731	21357
75	1748	21262
76	1765	21162
77	1782	21066
78	1800	20991
79	1816	20893
80	1833	20797
81	1849	20707
82	1868	20640
83	1884	20552
84	1900	20454
85	1918	20387
86	1935	20310
87	1952	20238
88	1969	20164
89	1985	20080
90	2038	20363
91	2080	20533
92	2099	20478
93	2121	20446
94	2137	20366
95	2157	20313
96	2180	20297
97	2197	20224
98	2216	20172
99	2236	20127
100	2245	19986
101	2262	19921
102	2279	19847
103	2296	19784
104	2305	19647
105	2328	19637
106	2348	19601
107	2365	19535
108	2382	19478
109	2401	19426
110	2417	19358
111	2434	19299
112	2451	19246
113	2470	19198
114	2486	19139
115	2505	19090
116	2522	19033
117	2539	18980
118	2559	18947
119	2576	18890
120	2591	18826
121	2608	18770
122	2622	18701
123	2638	18637
124	2653	18576
125	2670	18527
126	2689	18488
127	2708	18452
128	2729	18426
129	2745	18375
130	2762	18323
131	2779	18275
132	2795	18224
133	2808	18150
134	2831	18144
135	2847	18092
136	2864	18043
137	2881	18000
138	2896	17943
139	2913	17896
140	2928	17841
141	2944	17792
142	2960	17740
143	2978	17704
144	3005	17719
145	3032	17739
146	3071	17825
147	3216	18518
148	3256	18599
149	3277	18571
150	3318	18658
151	3368	18795
152	3416	18916
153	3465	19039
154	3494	19048
155	3521	19049
156	3548	19050
157	3579	19074
158	3609	19091
159	3647	19148
160	3699	19277
161	3746	19378
162	3776	19390
163	3804	19392
164	3829	19381
165	3853	19359
166	3873	19319
167	3894	19285
168	3919	19274
169	3942	19246
170	3962	19209
171	3987	19196
172	4012	19182
173	4047	19213
174	4072	19198
175	4096	19178
176	4119	19153
177	4137	19108
178	4157	19067
179	4177	19031
180	4202	19013
181	4237	19047
182	4493	20059
183	4522	20054
184	4547	20035
185	4568	19994
186	4590	19959
187	4618	19949
188	4644	19930
189	4672	19919
190	4701	19913
191	4726	19892
192	4751	19869
193	4771	19824
194	4798	19809
195	4819	19769
196	4838	19722
197	4862	19696
198	4883	19658
199	4909	19636
200	4931	19601
201	4954	19571
202	4976	19538
203	4996	19497
204	5021	19473
205	5044	19444
206	5076	19448
207	5104	19437
208	5127	19406
209	5154	19392
210	5179	19367
211	5211	19370
212	5244	19378
213	5276	19380
214	5310	19389
215	5354	19434
216	5398	19480
217	5432	19487
218	5472	19514
219	5592	19828
220	5635	19862
221	5668	19863
222	5690	19826
223	5711	19787
224	5734	19751
225	5757	19716
226	5778	19675
227	5800	19639
228	5820	19595
229	5840	19554
230	5864	19524
231	5888	19493
232	5908	19450
233	5933	19423
234	5966	19422
235	6003	19434
236	6059	19507
237	6096	19518
238	6117	19478
239	6144	19457
240	6170	19433
241	6193	19399
242	6215	19361
243	6239	19332
244	6262	19297
245	6288	19275
246	6314	19249
247	6341	19230
248	6375	19227
249	6396	19189
250	6418	19153
251	6442	19124
252	6465	19090
253	6487	19053
254	6510	19021
255	6540	19006
256	6566	18982
257	6680	19211
258	6719	19223
259	6742	19189
260	6762	19147
261	6788	19121
262	6823	19122
