iter	Passed	Remaining
0	186	372766
1	271	271343
2	409	272703
3	454	226864
4	515	205799
5	562	186903
6	614	174841
7	649	161802
8	696	154104
9	746	148507
10	811	146787
11	887	147083
12	938	143425
13	999	141727
14	1064	140897
15	1134	140642
16	1216	141955
17	1242	136791
18	1266	132003
19	1287	127435
20	1313	123826
21	1339	120459
22	1374	118175
23	1414	116500
24	1441	113861
25	1463	111117
26	1485	108527
27	1505	105998
28	1536	104422
29	1564	102746
30	1599	101598
31	1652	101628
32	1692	100878
33	1734	100320
34	1782	100077
35	1822	99427
36	1866	99046
37	1963	101355
38	2013	101223
39	2090	102453
40	2151	102799
41	2192	102233
42	2225	101272
43	2249	100014
44	2282	99160
45	2311	98177
46	2337	97137
47	2395	97425
48	2461	98023
49	2487	96993
50	2517	96220
51	2541	95203
52	2580	94796
53	2612	94138
54	2641	93403
55	2669	92669
56	2705	92217
57	2733	91541
58	2770	91147
59	2801	90573
60	2833	90078
61	2885	90202
62	2920	89783
63	2958	89509
64	2989	88991
65	3014	88348
66	3046	87906
67	3081	87544
68	3120	87326
69	3153	86953
70	3190	86671
71	3227	86412
72	3271	86349
73	3300	85909
74	3337	85664
75	3370	85338
76	3418	85381
77	3442	84831
78	3485	84756
79	3529	84701
80	3569	84568
81	3593	84050
82	3618	83577
83	3641	83051
84	3667	82630
85	3688	82083
86	3713	81664
87	3735	81159
88	3761	80761
89	3782	80271
90	3807	79877
91	3858	80028
92	3886	79703
93	3908	79242
94	3930	78821
95	3958	78502
96	4002	78526
97	4031	78249
98	4073	78211
99	4101	77924
100	4128	77621
101	4146	77148
102	4164	76705
103	4180	76217
104	4208	75944
105	4240	75767
106	4270	75552
107	4301	75352
108	4329	75110
109	4357	74866
110	4384	74615
111	4409	74335
112	4438	74118
113	4463	73848
114	4493	73652
115	4522	73450
116	4556	73327
117	4585	73135
118	4627	73139
119	4652	72894
120	4678	72654
121	4708	72477
122	4738	72314
123	4767	72133
124	4795	71938
125	4821	71712
126	4849	71519
127	4874	71285
128	4902	71104
129	4930	70921
130	4959	70758
131	4988	70594
132	5018	70446
133	5047	70286
134	5080	70185
135	5107	69996
136	5143	69938
137	5168	69739
138	5199	69609
139	5232	69521
140	5274	69542
141	5308	69455
142	5345	69422
143	5397	69573
144	5462	69886
145	5504	69896
146	5547	69931
147	5580	69832
148	5611	69705
149	5635	69502
150	5666	69389
151	5691	69200
152	5718	69038
153	5748	68906
154	5784	68854
155	5809	68665
156	5838	68536
157	5866	68391
158	5895	68266
159	5929	68189
160	5975	68256
161	6015	68246
162	6052	68212
163	6081	68082
164	6111	67966
165	6135	67788
166	6161	67625
167	6189	67497
168	6227	67475
169	6254	67324
170	6280	67176
171	6307	67031
172	6334	66891
173	6367	66820
174	6393	66670
175	6425	66590
176	6449	66427
177	6477	66299
178	6504	66174
179	6529	66016
180	6556	65894
181	6581	65741
182	6608	65615
183	6633	65465
184	6665	65396
185	6692	65271
186	6719	65146
187	6744	65006
188	6774	64909
189	6797	64753
190	6822	64621
191	6847	64479
192	6871	64333
193	6897	64207
194	6924	64097
195	6949	63966
196	6977	63859
197	7005	63757
198	7031	63638
199	7057	63521
200	7084	63411
201	7112	63305
202	7139	63198
203	7164	63074
204	7192	62975
205	7216	62850
206	7245	62755
207	7272	62656
208	7299	62556
