iter	RMSE
0	0.3069653868
1	0.2960104405
2	0.2863293051
3	0.2770671072
4	0.2687028115
5	0.2607001676
6	0.2535067663
7	0.2474364615
8	0.2413509109
9	0.2360098713
10	0.230951312
11	0.2265266662
12	0.2221553981
13	0.2182549949
14	0.2150023131
15	0.2116454544
16	0.2087096952
17	0.2061069804
18	0.2037209481
19	0.2015314269
20	0.1994240829
21	0.1975186583
22	0.1956123267
23	0.194102747
24	0.1927755801
25	0.1909115564
26	0.1898278545
27	0.188662086
28	0.1870764425
29	0.1861205565
30	0.1852436807
31	0.1839887323
32	0.1833334328
33	0.182659147
34	0.1815214437
35	0.1809313748
36	0.1802199536
37	0.1796309757
38	0.1792256983
39	0.1785839946
40	0.1781811373
41	0.1776581542
42	0.1772187955
43	0.1768138631
44	0.1766105069
45	0.1761753515
46	0.1758177414
47	0.1752020117
48	0.1746082308
49	0.1740336255
50	0.1736933243
51	0.173312149
52	0.1730287216
53	0.1727295105
54	0.1724021901
55	0.1722341144
56	0.1720200169
57	0.1716438141
58	0.1714278487
59	0.1708712896
60	0.1706311152
61	0.1704608437
62	0.170305673
63	0.1701944661
64	0.1700263539
65	0.1699191236
66	0.1697758931
67	0.1696383593
68	0.1695147558
69	0.1694035638
70	0.1693273995
71	0.1692138872
72	0.168921355
73	0.1684210782
74	0.1683358516
75	0.1682367989
76	0.1681395375
77	0.1680702788
78	0.1676217258
79	0.1675143122
80	0.1670585821
81	0.1669632283
82	0.1668884733
83	0.1668268425
84	0.1667196918
85	0.1664764466
86	0.1663942158
87	0.1660748736
88	0.1659755046
89	0.1657643633
90	0.1656832499
91	0.1655211972
92	0.1654329312
93	0.1653515429
94	0.1651261603
95	0.1650749958
96	0.1649800969
97	0.1649082576
98	0.1648284042
99	0.164764397
100	0.1646893721
101	0.1646401682
102	0.1645676475
103	0.1645277395
104	0.1644738981
105	0.164271642
106	0.1642212157
107	0.164060217
108	0.1639985556
109	0.1638939206
110	0.1637815896
111	0.1634281574
112	0.1633823695
113	0.1632126079
114	0.1631385924
115	0.1630402511
116	0.1629795902
117	0.1629554192
118	0.1629063512
119	0.1628717558
120	0.1627279071
121	0.1626413864
122	0.1625294374
123	0.1624684724
124	0.162409826
125	0.1622320534
126	0.1621971081
127	0.1621314877
128	0.1619995295
129	0.1617284456
130	0.1616601315
131	0.1616239083
132	0.1615585162
133	0.1615329079
134	0.1614568427
135	0.1614079694
136	0.1613719901
137	0.1612755461
138	0.1612070078
139	0.1611251682
140	0.1608685619
141	0.1606234818
142	0.1605480477
143	0.1603350194
144	0.1601360838
145	0.1599737235
146	0.1599219309
147	0.1598667515
148	0.1597197482
149	0.1596787869
150	0.1594947559
151	0.1593706041
152	0.1593088885
153	0.1592585201
154	0.1591723059
155	0.1591366042
156	0.1591169175
157	0.1590766488
158	0.1590319239
159	0.1589859373
160	0.1588693539
161	0.1588230691
162	0.1587354925
163	0.1586639526
164	0.1585719473
165	0.1584433359
166	0.1583759715
167	0.1582224737
168	0.1581831044
169	0.1580188337
170	0.1579767386
171	0.1579176414
172	0.1578688059
173	0.1577062538
174	0.1575551443
175	0.1575056479
176	0.1574478207
177	0.1574024665
178	0.1573183676
179	0.1572018886
180	0.1570769068
181	0.1569440403
182	0.15687215
183	0.156804695
184	0.1567588072
185	0.1567140032
186	0.1566754586
187	0.156534099
188	0.1564348828
189	0.1562669129
190	0.1561674568
191	0.1560795661
192	0.1560036218
193	0.1559000835
194	0.155841079
195	0.1557167152
196	0.1556509446
197	0.1555820283
198	0.1555295085
199	0.1554635014
200	0.1553904222
201	0.1552866077
202	0.1552250851
203	0.1551243408
204	0.1550707487
205	0.155007678
206	0.1549130676
207	0.1548414004
208	0.1547296857
209	0.1546835376
210	0.1546248778
211	0.1545382807
212	0.1544654565
213	0.1544008104
214	0.1543417644
215	0.1542497441
216	0.1541830818
217	0.1541394647
218	0.1540449411
219	0.1539101086
220	0.1538785712
221	0.1537974828
222	0.1537272002
223	0.1536690411
224	0.1535678931
225	0.1535073946
226	0.1534354145
227	0.1533836887
228	0.1532966228
229	0.1531965606
230	0.1531358632
231	0.1530890178
232	0.1530468762
233	0.1529975798
234	0.1529461568
235	0.1529115539
236	0.1528402009
237	0.1527861176
238	0.1526680905
239	0.1526263782
240	0.1525885634
241	0.1524969305
242	0.1524527309
243	0.1524165397
244	0.1523794853
245	0.1523149293
246	0.1522588796
247	0.1521398507
248	0.1521215323
249	0.152036645
250	0.1519722742
251	0.1518981005
252	0.1518130776
253	0.1517606801
254	0.1517336947
255	0.1516853014
256	0.1515756879
257	0.1515218929
258	0.1514750189
259	0.15145472
260	0.1514043903
261	0.1512905441
262	0.1512548244
263	0.1511841201
264	0.1510621416
265	0.1510326894
266	0.150987004
267	0.1509371703
268	0.1508729007
269	0.1507848975
270	0.15075957
271	0.1506814758
272	0.1506300355
273	0.1505613362
274	0.1504547232
275	0.1503915216
276	0.1503475626
277	0.1503000553
278	0.1502532172
279	0.1502049251
280	0.1501581503
281	0.150121158
282	0.1500779869
283	0.1500280268
284	0.1499392741
285	0.1498889084
286	0.1497873755
287	0.1497159375
288	0.1496766038
289	0.149641543
290	0.1495520973
291	0.1494502494
292	0.1494071998
293	0.1493716567
294	0.1493100163
295	0.1492685762
296	0.1492025358
297	0.1491128002
298	0.1490868577
299	0.1489903155
300	0.148954624
301	0.14883913
302	0.1487524387
303	0.148712496
304	0.1486117488
305	0.148516573
306	0.148460941
307	0.14843798
308	0.148382816
309	0.1483489384
310	0.1482653124
311	0.1482217478
312	0.148168522
313	0.1481154428
314	0.1480654705
315	0.1479709768
316	0.147924792
317	0.1478872886
318	0.1478197905
319	0.1477827024
320	0.1477527429
321	0.147714026
322	0.147693228
323	0.1476535498
324	0.1476027231
325	0.1475634066
326	0.1475180249
327	0.1474532659
328	0.1474188185
329	0.1473878405
330	0.1473470725
331	0.1472948781
332	0.1472718467
333	0.14722832
334	0.1471438614
335	0.1470978817
336	0.1470549527
337	0.1470111285
338	0.1469671478
339	0.1469231483
340	0.1469105452
341	0.1468611871
342	0.1468096556
343	0.1467752328
344	0.1467531687
345	0.1466890884
346	0.1466357857
347	0.1465496698
348	0.1464993886
349	0.1464519642
350	0.1464100138
351	0.1463718632
352	0.1463385994
353	0.1463175251
354	0.1462548316
355	0.146209663
356	0.1461885753
357	0.1461482568
358	0.1461171162
359	0.1460707917
360	0.1460377914
361	0.146002417
362	0.1459741258
363	0.1459478844
364	0.1459200408
365	0.1458845449
366	0.14583376
367	0.1457982627
368	0.1457233831
369	0.1456878397
370	0.1455760841
371	0.1455167671
372	0.145447797
373	0.1453691165
374	0.1453389863
375	0.1453126316
376	0.1452737559
377	0.1452164115
378	0.1451810592
379	0.1451294995
380	0.1451044156
381	0.1450709578
382	0.1450357966
383	0.144999337
384	0.1449159419
385	0.1448880819
386	0.1448572677
387	0.1448211003
388	0.1447854488
389	0.1447451489
390	0.1446910294
391	0.1446737703
392	0.144640945
393	0.144588871
394	0.1445592344
395	0.1445302871
396	0.1444885258
397	0.1444448193
398	0.1444081264
399	0.1443416559
400	0.1442606027
401	0.1442191938
402	0.144152576
403	0.1441159451
404	0.1440695426
405	0.144032966
406	0.1439695556
407	0.1439001954
408	0.1438765484
409	0.1438588569
410	0.1438257357
411	0.1437943964
412	0.1437788619
413	0.1437343315
414	0.1437005663
415	0.1436513495
416	0.1436148534
417	0.1435480948
418	0.1434486516
419	0.1434364403
420	0.1433966743
421	0.1433709865
422	0.1433075671
423	0.1432549553
424	0.1432044533
425	0.1431441879
426	0.1430856462
427	0.143047363
428	0.1430112938
429	0.1429901285
430	0.1429441183
431	0.1428827698
432	0.1428584055
433	0.1428285358
434	0.1427626787
435	0.1427196236
436	0.1426463472
437	0.1425931172
438	0.1425650751
439	0.1424691003
440	0.1424267842
441	0.1423923769
442	0.1423602515
443	0.142340585
444	0.1423186773
445	0.1422882827
446	0.1422010266
447	0.1421760818
448	0.1421225274
449	0.1420936601
450	0.1420736409
451	0.1420518776
452	0.141996725
453	0.1419407674
454	0.1419037118
455	0.1418777423
456	0.1418231416
457	0.1417768428
458	0.141732384
459	0.1416985618
460	0.1416577771
461	0.141626041
462	0.1415709003
463	0.1415373109
464	0.1415158145
465	0.1414804544
466	0.1414418645
467	0.1413944857
468	0.1413778038
469	0.141361934
470	0.1413146235
471	0.1412863217
472	0.1412154201
473	0.141186101
474	0.1411688752
475	0.1411457198
476	0.1411012781
477	0.1410678848
478	0.1410342831
479	0.1409859746
480	0.1409652522
481	0.1409368031
482	0.1409035615
483	0.1408351487
484	0.1407941855
485	0.1407602403
486	0.1407276637
487	0.1406795778
488	0.1406668001
489	0.1405842871
490	0.1405325962
491	0.1404704557
492	0.1404297911
493	0.1404106242
494	0.1403883624
495	0.1403602864
496	0.140317114
497	0.1402917448
498	0.1402580447
499	0.1402419213
500	0.1401927456
501	0.1401770805
502	0.1401331153
503	0.1400864733
504	0.1400459081
505	0.1400292027
506	0.1399937297
507	0.1399321677
508	0.1399093041
509	0.1398748599
510	0.1398586533
511	0.1397855169
512	0.1397748202
513	0.1397496955
514	0.1397209963
515	0.1396972139
516	0.1396501677
517	0.1395979316
518	0.1395766089
519	0.1395286725
520	0.139464419
521	0.1393999439
522	0.1393828352
523	0.1393509277
524	0.1393207496
525	0.1392873439
526	0.1392730305
527	0.1392172507
528	0.1391908736
529	0.1391522116
530	0.1390941689
531	0.1390749336
532	0.1390266112
533	0.1389734009
534	0.1389611752
535	0.1389393288
536	0.138915934
537	0.1388783033
538	0.1388172524
539	0.1387816017
540	0.1387561508
541	0.1387165015
542	0.1386927166
543	0.1386342801
544	0.1385921594
545	0.1385660004
546	0.1385366002
547	0.1385077351
548	0.1384821281
549	0.13844793
550	0.1384308185
551	0.1383617532
552	0.1383429526
553	0.1383188593
554	0.1382898739
555	0.1382337728
556	0.1382090818
557	0.1381719694
558	0.1381458289
559	0.1381014197
560	0.1380792408
561	0.1380521634
562	0.1380213717
563	0.13797647
564	0.1379634088
565	0.1379447144
566	0.1379137527
567	0.1378738461
568	0.1378327272
569	0.1377786536
570	0.1377476393
571	0.1377229111
572	0.1376849845
573	0.1376531095
574	0.137613478
575	0.1375878743
576	0.1375606071
577	0.1375378526
578	0.1375177769
579	0.1375057134
580	0.1374800052
581	0.137456589
582	0.1374214721
583	0.1373865933
584	0.1373584738
585	0.1373168066
586	0.1372793405
587	0.1372523895
588	0.1372300844
589	0.1371693987
590	0.1371562307
591	0.1371388223
592	0.1371235145
593	0.1370520526
594	0.1370195376
595	0.1370057359
596	0.1369733758
597	0.1369242444
598	0.136890545
599	0.1368633683
600	0.1368400083
601	0.1368159201
602	0.1367953701
603	0.1367594852
604	0.1367396649
605	0.1366891888
606	0.1366686672
607	0.1366427149
608	0.1366252327
609	0.1365896706
610	0.136567398
611	0.1365454535
612	0.1365245719
613	0.1364894918
614	0.1364713319
615	0.1364547731
616	0.1364133756
617	0.1363936362
618	0.1363728378
619	0.1363509446
620	0.1363264327
621	0.1363102591
622	0.1362712555
623	0.1362386306
624	0.1361978418
625	0.1361570985
626	0.136130579
627	0.1360778301
628	0.1360652806
629	0.1360316161
630	0.1360061524
631	0.1359830621
632	0.1359670219
633	0.1359567204
634	0.1359266705
635	0.1359108109
636	0.1358853098
637	0.1358539619
638	0.1358393009
639	0.1358165311
640	0.135800052
641	0.1357844313
642	0.1357543875
643	0.1357094202
644	0.1356960424
645	0.1356848694
646	0.1356368825
647	0.135602338
648	0.1355637348
649	0.1355353705
650	0.135515178
651	0.1355031307
652	0.1354810383
653	0.1354456297
654	0.1354197416
655	0.1353889942
656	0.1353704385
657	0.135353805
658	0.1353352702
659	0.1353006606
660	0.1352757787
661	0.1352522258
662	0.1352378062
663	0.1352147532
664	0.1352020082
665	0.1351527147
666	0.1351236751
667	0.1351032607
668	0.1350748105
669	0.1350594022
670	0.1350206333
671	0.1349578405
672	0.1349246571
673	0.1349071019
674	0.1348654446
675	0.134841973
676	0.1348084619
677	0.1347986
678	0.1347800612
679	0.1347280032
680	0.1346978866
681	0.1346657498
682	0.1346383221
683	0.1346205451
684	0.1345579229
685	0.1345429145
686	0.1344881318
687	0.1344414217
688	0.1344085027
689	0.1343829061
690	0.1343537898
691	0.134334535
692	0.1342958111
693	0.1342515306
694	0.1342241909
695	0.1342075264
696	0.1341869826
697	0.1341491335
698	0.1341226719
699	0.1340978441
700	0.1340766321
701	0.1340203034
702	0.1339823725
703	0.1339353963
704	0.1339131007
705	0.1338681678
706	0.1338510254
707	0.1338382149
708	0.1338148185
709	0.1338008121
710	0.1337702954
711	0.133733306
712	0.1337009594
713	0.1336867472
714	0.1336716399
715	0.1336421439
716	0.1336280018
717	0.1335844468
718	0.133549585
719	0.1335043949
720	0.1334913709
721	0.1334474263
722	0.1334340782
723	0.1334124455
724	0.1333823767
725	0.1333429885
726	0.1333137696
727	0.1332986414
728	0.1332895786
729	0.1332653287
730	0.1332489279
731	0.1332033601
732	0.1331800796
733	0.1331417065
734	0.1331167328
735	0.1330720493
736	0.1330497137
737	0.1330386118
738	0.1330205923
739	0.1330006946
740	0.1329773352
741	0.1329410591
742	0.1329189159
743	0.1329079905
744	0.1328951163
745	0.1328561313
746	0.132820964
747	0.1328098199
748	0.1328013819
749	0.1327677601
750	0.1327333661
751	0.1327168344
752	0.1326955131
753	0.1326603719
754	0.1326368984
755	0.1326035021
756	0.1325681397
757	0.1325220836
758	0.1325078788
759	0.132485874
760	0.1324651087
761	0.1324579503
762	0.132410088
763	0.132381275
764	0.132354029
765	0.1323395288
766	0.1323175238
767	0.1322672635
768	0.1322488726
769	0.1322315197
770	0.1322059211
771	0.1321931225
772	0.1321512238
773	0.1321275421
774	0.1321083123
775	0.1320853162
776	0.1320586015
777	0.1320339005
778	0.132021612
779	0.1319979726
780	0.1319763568
781	0.1319524492
782	0.1319192442
783	0.1319001372
784	0.1318551065
785	0.1318277262
786	0.131814462
787	0.1317979361
788	0.1317794676
789	0.1317497448
790	0.1317205074
791	0.1316886581
792	0.1316703599
793	0.1316397864
794	0.1316186886
795	0.1315765166
796	0.1315449704
797	0.1315278229
798	0.1315170793
799	0.1314953999
800	0.1314594506
801	0.1314377067
802	0.1313973889
803	0.1313769385
804	0.1313601793
805	0.1313537916
806	0.13134031
807	0.1313040136
808	0.1312778649
809	0.1312521689
810	0.1312277702
811	0.1312072107
812	0.1311706273
813	0.1311422132
814	0.1311233615
815	0.1311019485
816	0.131083476
817	0.1310466114
818	0.1310304751
819	0.1310083122
820	0.1309882121
821	0.13095076
822	0.1309410129
823	0.1309235896
824	0.1309030955
825	0.1308688982
826	0.1308356255
827	0.1308091646
828	0.1307794545
829	0.1307614232
830	0.1307334244
831	0.1306922721
832	0.1306791048
833	0.1306538631
834	0.1306352134
835	0.130627028
836	0.1305952822
837	0.1305752144
838	0.1305628898
839	0.1305487911
840	0.1305172104
841	0.1304940875
842	0.1304835067
843	0.1304738279
844	0.1304609678
845	0.1304477152
846	0.1304369842
847	0.1304201707
848	0.1303761437
849	0.1303534633
850	0.130300872
851	0.1302825099
852	0.1302450283
853	0.1302117685
854	0.1301993873
855	0.1301809168
856	0.1301640635
857	0.1301525952
858	0.1301207911
859	0.1300799463
860	0.1300266906
861	0.1300148619
862	0.1299899466
863	0.1299800972
864	0.1299439144
865	0.1299152561
866	0.1298969099
867	0.1298809171
868	0.1298591366
869	0.129837545
870	0.1298140451
871	0.1297861525
872	0.1297774418
873	0.1297704452
874	0.1297554647
875	0.1297453398
876	0.1297275914
877	0.1297085366
878	0.1296747132
879	0.1296675477
880	0.1296450443
881	0.1296270124
882	0.1295986572
883	0.1295891654
884	0.1295537273
885	0.1295373616
886	0.1295207153
887	0.1294992081
888	0.1294917954
889	0.1294809323
890	0.1294726091
891	0.1294583102
892	0.1294394758
893	0.1294167494
894	0.1293820061
895	0.129349567
896	0.129270032
897	0.1292604942
898	0.1292532969
899	0.1292405285
900	0.1292095228
901	0.1291864205
902	0.1291688459
903	0.1291559579
904	0.1291358972
905	0.1291031428
906	0.1290868253
907	0.1290707166
908	0.1290563721
909	0.1290270638
910	0.1290130184
911	0.1289915815
912	0.1289712146
913	0.1289496914
914	0.1289418829
915	0.1289052304
916	0.1288980766
917	0.1288764146
918	0.1288512306
919	0.128835832
920	0.1288157014
921	0.1288056671
922	0.1287983336
923	0.1287735061
924	0.1287578535
925	0.1287533849
926	0.1287445825
927	0.1287150094
928	0.1286774867
929	0.1286305802
930	0.1286055762
931	0.1285785309
932	0.1285656149
933	0.1285463463
934	0.1285117276
935	0.1284783439
936	0.1284685133
937	0.1284343001
938	0.1284172056
