iter	Passed	Remaining
0	23	23179
1	45	22579
2	74	24900
3	109	27141
4	189	37703
5	219	36357
6	250	35525
7	275	34213
8	301	33240
9	329	32626
10	367	33042
11	397	32752
12	424	32249
13	456	32152
14	486	31970
15	518	31857
16	554	32040
17	589	32144
18	629	32500
19	666	32648
20	695	32426
21	726	32300
22	754	32029
23	782	31831
24	809	31579
25	836	31349
26	862	31087
27	891	30940
28	917	30704
29	943	30519
30	969	30320
31	996	30131
32	1023	29991
33	1047	29758
34	1075	29654
35	1105	29606
36	1148	29892
37	1196	30278
38	1222	30126
39	1305	31326
40	1334	31209
41	1361	31051
42	1387	30887
43	1418	30826
44	1454	30876
45	1481	30731
46	1504	30512
47	1534	30437
48	1567	30422
49	1598	30370
50	1626	30264
51	1651	30114
52	1678	29999
53	1705	29870
54	1730	29741
55	1767	29794
56	1795	29699
57	1822	29603
58	1851	29526
59	1886	29557
60	1923	29616
61	1952	29532
62	1977	29408
63	2014	29465
64	2055	29565
65	2080	29438
66	2105	29322
67	2131	29213
68	2161	29159
69	2184	29017
70	2208	28903
71	2243	28914
72	2279	28947
73	2440	30543
74	2498	30815
75	2522	30671
76	2553	30610
77	2584	30552
78	2609	30416
79	2644	30414
80	2685	30468
81	2717	30419
82	2749	30371
83	2787	30392
84	2810	30258
85	2836	30147
86	2864	30056
87	2899	30046
88	2939	30086
89	2971	30046
90	2996	29937
91	3028	29890
92	3053	29778
93	3086	29743
94	3120	29723
95	3154	29708
96	3184	29649
97	3216	29600
98	3251	29587
99	3283	29550
100	3307	29442
101	3339	29398
102	3366	29317
103	3401	29301
104	3429	29229
105	3461	29198
106	3666	30601
107	3692	30496
108	3720	30411
109	3748	30330
110	3775	30237
111	3803	30155
112	3841	30152
113	3877	30136
114	3909	30085
115	3935	29990
116	3971	29972
117	4006	29946
118	4033	29862
119	4070	29849
120	4105	29822
121	4136	29767
122	4174	29762
123	4217	29792
124	4242	29696
125	4273	29640
126	4307	29609
127	4339	29565
128	4379	29566
129	4420	29586
130	4449	29518
131	4474	29422
132	4506	29375
133	4545	29375
134	4572	29298
135	4601	29233
136	4641	29239
137	4743	29629
138	4769	29544
139	4797	29468
140	4823	29385
141	4849	29299
142	4875	29217
143	4901	29133
144	4930	29070
145	4957	28999
146	4982	28913
147	5010	28842
148	5039	28781
149	5073	28749
150	5109	28728
151	5146	28710
