iter	Passed	Remaining
0	43	4299
1	94	4626
2	142	4595
3	187	4500
4	232	4421
5	283	4446
6	332	4411
7	379	4363
8	428	4333
9	477	4298
10	527	4267
11	573	4206
12	621	4157
13	676	4158
14	745	4222
15	815	4283
16	889	4341
17	950	4327
18	1015	4330
19	1081	4325
20	1144	4307
21	1206	4275
22	1260	4219
23	1318	4174
24	1381	4145
25	1444	4110
26	1512	4089
27	1560	4013
28	1609	3941
29	1679	3918
30	1737	3867
31	1795	3814
32	1855	3766
33	1912	3713
34	1983	3683
35	2070	3680
36	2136	3637
37	2191	3575
38	2281	3567
39	2349	3523
40	2421	3484
41	2493	3443
42	2553	3384
43	2601	3310
44	2650	3239
45	2706	3177
46	2765	3118
47	2821	3057
48	2892	3010
49	2945	2945
50	2987	2870
51	3050	2815
