iter	Passed	Remaining
0	188	180007
1	236	112709
2	253	80642
3	291	69412
4	320	60921
5	353	55944
6	383	51927
7	405	48072
8	422	44438
9	450	42623
10	483	41498
11	515	40582
12	555	40265
13	597	40227
14	628	39448
15	658	38657
16	692	38248
17	724	37747
18	752	37123
19	762	35683
20	792	35279
21	833	35372
22	866	35162
23	882	34284
24	929	34605
25	962	34430
26	990	34064
27	1018	33745
28	1046	33456
29	1066	32923
30	1103	32940
31	1130	32631
32	1175	32876
33	1212	32887
34	1247	32839
35	1278	32662
36	1309	32518
37	1343	32462
38	1383	32527
39	1416	32437
40	1445	32267
41	1470	31999
42	1500	31869
43	1529	31701
44	1561	31619
45	1596	31576
46	1627	31470
47	1652	31262
48	1689	31267
49	1718	31145
50	1750	31067
51	1780	30956
52	1812	30883
53	1854	30983
54	1869	30623
55	1900	30536
56	1929	30436
57	1959	30335
58	1970	29957
59	1989	29711
60	2020	29640
61	2048	29533
62	2078	29459
63	2106	29363
64	2134	29254
65	2163	29172
66	2192	29094
67	2202	28762
68	2232	28695
69	2262	28632
70	2292	28578
71	2320	28495
72	2350	28435
73	2375	28314
74	2404	28244
75	2440	28252
76	2471	28217
77	2508	28235
78	2546	28265
79	2591	28376
80	2641	28539
81	2682	28593
82	2701	28412
83	2743	28478
84	2785	28543
85	2812	28456
86	2856	28534
87	2897	28580
88	2945	28694
89	2964	28521
90	2998	28500
91	3031	28469
92	3064	28439
93	3099	28420
94	3111	28195
95	3147	28196
96	3180	28164
97	3222	28211
98	3266	28278
99	3284	28111
100	3319	28100
101	3353	28077
102	3387	28052
103	3398	27839
104	3436	27849
105	3480	27912
106	3513	27880
107	3547	27851
108	3580	27824
109	3617	27824
110	3638	27698
111	3672	27675
112	3706	27654
113	3809	28136
114	3852	28170
115	3877	28079
116	3882	27840
117	3915	27809
118	3950	27786
119	3988	27785
120	3996	27580
121	4023	27504
122	4039	27357
123	4069	27306
124	4110	27324
125	4140	27276
126	4171	27227
127	4203	27188
128	4236	27158
129	4274	27161
130	4305	27114
131	4336	27071
132	4367	27024
133	4395	26960
134	4429	26939
135	4459	26888
136	4487	26829
137	4512	26749
138	4539	26682
139	4571	26643
140	4604	26615
141	4635	26574
142	4667	26538
143	4679	26389
144	4710	26345
145	4745	26328
146	4773	26271
147	4805	26236
148	4835	26188
149	4846	26042
150	4887	26057
151	4921	26029
152	4952	25990
153	4979	25934
154	5011	25898
155	5042	25856
156	5072	25813
157	5102	25770
158	5132	25725
159	5161	25677
160	5174	25552
161	5203	25504
162	5230	25447
163	5262	25415
164	5274	25286
165	5309	25267
166	5341	25237
167	5368	25182
168	5399	25142
169	5429	25103
170	5460	25066
171	5468	24926
172	5496	24877
173	5527	24843
174	5558	24804
175	5589	24771
176	5618	24726
177	5649	24693
178	5679	24654
179	5705	24598
180	5737	24567
181	5769	24534
182	5801	24505
183	5829	24460
184	5860	24423
185	5891	24388
186	5919	24343
187	5954	24324
188	5984	24286
189	6014	24248
190	6043	24205
191	6073	24168
192	6109	24154
193	6141	24122
194	6174	24096
195	6204	24056
196	6235	24025
197	6273	24018
198	6305	23986
199	6344	23983
200	6371	23934
201	6401	23893
202	6429	23847
203	6459	23810
204	6488	23769
205	6519	23734
206	6548	23695
207	6580	23663
208	6611	23631
209	6642	23596
210	6673	23561
211	6704	23528
212	6734	23493
213	6767	23463
214	6799	23433
215	6829	23397
216	6867	23387
217	6907	23382
218	6937	23346
219	6969	23314
220	6998	23276
221	7027	23233
222	7058	23200
223	7087	23160
224	7118	23127
225	7148	23089
226	7177	23050
227	7206	23010
228	7238	22978
229	7265	22933
230	7294	22894
231	7324	22858
232	7356	22826
233	7384	22785
234	7414	22749
235	7448	22722
236	7477	22685
237	7506	22646
238	7536	22610
239	7564	22568
240	7593	22528
241	7623	22491
242	7653	22455
243	7682	22417
244	7712	22383
245	7747	22360
246	7790	22360
247	7825	22340
248	7858	22314
249	7901	22312
250	7931	22277
251	7963	22247
252	7997	22221
253	8026	22183
254	8055	22144
255	8083	22104
256	8110	22060
257	8137	22016
258	8168	21981
259	8197	21942
260	8230	21916
261	8260	21882
262	8289	21843
263	8318	21805
264	8347	21766
265	8379	21736
266	8412	21709
267	8445	21681
268	8477	21650
269	8506	21612
270	8535	21576
271	8576	21567
272	8618	21562
273	8650	21532
274	8682	21501
275	8709	21458
276	8739	21421
277	8772	21394
278	8816	21393
279	8848	21363
280	8883	21339
281	8918	21316
282	8948	21280
283	8977	21242
284	9006	21205
285	9034	21165
286	9066	21133
287	9096	21098
288	9127	21066
289	9156	21029
290	9187	20995
291	9219	20963
292	9250	20931
293	9280	20897
294	9310	20861
295	9341	20828
296	9371	20794
297	9404	20766
298	9439	20742
299	9467	20701
300	9498	20668
301	9527	20632
302	9558	20600
303	9588	20565
304	9620	20533
305	9649	20497
306	9678	20459
307	9710	20430
308	9740	20395
309	9774	20368
310	9803	20332
311	9834	20299
312	9864	20264
313	9895	20231
314	9925	20197
315	9954	20160
316	9984	20126
317	10014	20091
318	10045	20058
319	10074	20022
320	10102	19985
321	10132	19951
322	10161	19914
323	10190	19876
324	10219	19841
325	10248	19806
326	10278	19772
327	10309	19738
328	10347	19719
329	10377	19685
330	10405	19647
331	10435	19613
332	10463	19576
333	10493	19542
334	10534	19528
335	10577	19517
336	10609	19487
337	10641	19456
338	10675	19430
339	10706	19398
340	10744	19378
341	10780	19354
342	10818	19335
343	10856	19314
344	10889	19285
345	10921	19255
346	10952	19221
347	10983	19188
348	11012	19153
349	11043	19120
350	11072	19084
351	11103	19051
352	11136	19023
353	11176	19006
354	11205	18970
355	11237	18940
